Fecha,Atributo,Valor
01/09/1981 00:00,Cabanillas,10
01/10/1981 00:00,Cabanillas,18.6
01/11/1981 00:00,Cabanillas,36.7
01/12/1981 00:00,Cabanillas,26.7
01/01/1982 00:00,Cabanillas,49.9
01/02/1982 00:00,Cabanillas,44.2
01/03/1982 00:00,Cabanillas,51.8
01/04/1982 00:00,Cabanillas,24.4
01/05/1982 00:00,Cabanillas,5
01/06/1982 00:00,Cabanillas,1
01/07/1982 00:00,Cabanillas,2.5
01/08/1982 00:00,Cabanillas,4
01/09/1982 00:00,Cabanillas,48.2
01/10/1982 00:00,Cabanillas,61
01/11/1982 00:00,Cabanillas,35.5
01/12/1982 00:00,Cabanillas,23
01/01/1983 00:00,Cabanillas,26
01/02/1983 00:00,Cabanillas,138.0822652
01/03/1983 00:00,Cabanillas,7.5
01/04/1983 00:00,Cabanillas,2.1
01/05/1983 00:00,Cabanillas,1.5
01/06/1983 00:00,Cabanillas,2.8
01/07/1983 00:00,Cabanillas,0
01/08/1983 00:00,Cabanillas,3
01/09/1983 00:00,Cabanillas,6.5
01/10/1983 00:00,Cabanillas,15
01/11/1983 00:00,Cabanillas,30.5
01/12/1983 00:00,Cabanillas,69
01/01/1984 00:00,Cabanillas,212.8
01/02/1984 00:00,Cabanillas,237.1
01/03/1984 00:00,Cabanillas,126
01/04/1984 00:00,Cabanillas,33.5
01/05/1984 00:00,Cabanillas,21.4
01/06/1984 00:00,Cabanillas,0
01/07/1984 00:00,Cabanillas,3
01/08/1984 00:00,Cabanillas,9
01/09/1984 00:00,Cabanillas,7.5
01/10/1984 00:00,Cabanillas,41.5
01/11/1984 00:00,Cabanillas,89.4
01/12/1984 00:00,Cabanillas,71.5
01/01/1985 00:00,Cabanillas,115.5
01/02/1985 00:00,Cabanillas,180.6
01/03/1985 00:00,Cabanillas,97.5
01/04/1985 00:00,Cabanillas,97.7
01/05/1985 00:00,Cabanillas,6
01/06/1985 00:00,Cabanillas,22
01/07/1985 00:00,Cabanillas,0
01/08/1985 00:00,Cabanillas,3
01/09/1985 00:00,Cabanillas,31.5
01/10/1985 00:00,Cabanillas,38
01/11/1985 00:00,Cabanillas,100
01/12/1985 00:00,Cabanillas,142.5
01/01/1986 00:00,Cabanillas,131.2
01/02/1986 00:00,Cabanillas,234.1
01/03/1986 00:00,Cabanillas,168.7
01/04/1986 00:00,Cabanillas,95.7
01/05/1986 00:00,Cabanillas,1.3
01/06/1986 00:00,Cabanillas,0
01/07/1986 00:00,Cabanillas,11
01/08/1986 00:00,Cabanillas,1.5
01/09/1986 00:00,Cabanillas,26
01/10/1986 00:00,Cabanillas,6.5
01/11/1986 00:00,Cabanillas,31.4
01/12/1986 00:00,Cabanillas,134.1
01/01/1987 00:00,Cabanillas,158.8
